2WN,2CNTZ,2CNTR,7WN,7CNTZ,7CNTR
1440.12,20.0,291.0,1440.13,20.0,260.0
1442.44,84.0,357.0,1442.19,28.0,207.0
1443.01,353.0,10.0,1442.88,358.0,309.0
1443.48,168.0,141.0,1445.63,18.0,60.0
1447.3,392.0,26.0,1445.96,304.0,132.0
1447.86,98.0,379.0,1446.26,383.0,391.0
1448.6,255.0,270.0,1447.17,210.0,73.0
1451.25,385.0,24.0,1447.84,26.0,345.0
1456.68,393.0,18.0,1452.1,386.0,385.0
1473.88,395.0,9.0,1467.69,392.0,386.0
1664.26,91.0,58.0,1657.73,180.0,100.0
1667.13,0.0,251.0,1668.87,91.0,110.0
1742.45,335.0,22.0,1753.11,349.0,12.0
1760.77,307.0,8.0,1759.52,318.0,183.0
2862.7,372.0,132.0,2860.23,363.0,364.0
2882.68,358.0,4.0,2881.91,354.0,296.0
2898.54,40.0,393.0,2887.8,235.0,308.0
2900.2,283.0,295.0,2898.59,32.0,364.0
2901.16,55.0,358.0,2900.18,81.0,68.0
2901.2,40.0,374.0,2901.03,197.0,76.0
2901.69,194.0,122.0,2901.37,299.0,161.0
2903.52,99.0,126.0,2901.91,23.0,354.0
2904.1,107.0,187.0,2904.23,85.0,314.0
2906.0,206.0,283.0,2904.29,118.0,235.0
2906.31,14.0,305.0,2905.24,8.0,8.0
2907.82,35.0,350.0,2905.33,293.0,166.0
2909.89,9.0,316.0,2906.64,364.0,384.0
2910.2,36.0,386.0,2907.96,11.0,5.0
2910.36,366.0,158.0,2908.15,166.0,21.0
2911.61,142.0,201.0,2911.08,26.0,350.0
2912.51,220.0,287.0,2912.87,308.0,159.0
2912.75,48.0,303.0,2914.01,36.0,156.0
2914.52,63.0,348.0,2914.25,47.0,230.0
2915.35,282.0,280.0,2915.67,58.0,35.0
2915.7,46.0,354.0,2915.87,83.0,41.0
2917.48,31.0,346.0,2916.43,59.0,321.0
2918.13,57.0,362.0,2916.84,241.0,238.0
2918.78,9.0,291.0,2918.76,18.0,4.0
2921.42,153.0,329.0,2920.44,270.0,134.0
2922.38,55.0,399.0,2923.12,3.0,94.0
